days_ago,amount,merchant,account,category,detailed,tags
1,4.82,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
6,4.90,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
11,6.36,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
16,5.92,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
21,5.63,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
26,5.45,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
31,5.55,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
36,5.69,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
43,5.21,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
46,6.02,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
52,5.12,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
57,5.27,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
62,5.27,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
68,5.20,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
73,5.11,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
76,5.05,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
81,5.68,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
88,4.92,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
93,5.69,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
97,5.89,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
103,5.80,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
109,6.12,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
112,5.08,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
118,5.48,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
122,4.94,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
129,5.39,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
133,5.55,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
139,5.93,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
144,5.33,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
148,5.02,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
152,6.26,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
157,5.10,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
163,5.34,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
167,5.89,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
174,5.68,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
180,5.85,Starbucks,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,coffee
