days_ago,amount,merchant,account,category,detailed,tags
1,6.62,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
9,6.44,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
16,6.92,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
24,6.70,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
31,6.11,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
39,6.23,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
47,6.94,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
54,6.20,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
63,6.79,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
68,6.14,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
77,6.72,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
85,5.90,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
92,6.90,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
99,6.61,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
107,6.22,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
114,6.12,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
124,6.54,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
129,6.11,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
139,6.49,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
147,6.28,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
153,5.94,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
160,6.57,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
168,6.19,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
176,6.15,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
183,6.79,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
192,6.51,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
198,6.24,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
