days_ago,amount,merchant,account,category,detailed,tags
1,7.33,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
4,7.37,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
8,7.54,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
11,7.50,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
15,8.07,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
18,7.38,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
21,6.38,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
25,7.37,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
28,7.54,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
31,7.19,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
35,8.06,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
38,7.67,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
43,6.55,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
44,6.81,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
48,7.03,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
52,6.48,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
55,7.47,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
58,8.06,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
63,7.89,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
64,7.57,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
68,6.32,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
73,8.35,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
74,6.52,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
80,6.96,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
82,7.47,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
87,6.52,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
90,8.00,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
92,6.26,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
95,8.05,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
99,7.36,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
101,7.30,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
107,6.40,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
109,6.30,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
113,7.60,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
117,7.14,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
119,6.98,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
122,7.81,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
126,7.87,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
129,7.42,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
133,8.05,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
135,6.46,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
140,7.57,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
142,7.01,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
146,8.26,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
151,7.59,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
153,8.22,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
157,7.16,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
159,7.33,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
162,8.14,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
166,7.10,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
169,6.38,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
174,7.40,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
177,6.43,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
180,7.57,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
185,8.32,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
187,7.53,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
190,7.27,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
193,7.63,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
197,8.39,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
202,6.50,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
203,7.62,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
208,6.96,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
212,7.03,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
215,7.64,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
216,6.83,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
221,7.28,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
224,6.70,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
229,6.89,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
230,7.42,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
234,6.60,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
239,8.26,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
242,6.21,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
245,8.07,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
248,7.74,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
251,6.20,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
255,7.28,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
257,7.98,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
260,6.39,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
266,7.55,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
269,8.04,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
273,8.36,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
274,6.57,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
278,7.07,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
282,7.37,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
284,6.33,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
288,6.80,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
292,7.80,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
295,6.94,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
299,7.02,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
303,6.85,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
